s2id,longitude,latitude,label,sublabel,iso3
8c32717b,-64.20402207891549,10.477552127558402,Cumana,Venezuela,VEN
8c32717f,-64.19810589678593,10.482201218567656,Cumana,Venezuela,VEN
8c327181,-64.19218984397166,10.481689495514402,Cumana,Venezuela,VEN
8c327187,-64.18627392064853,10.48117767269998,Cumana,Venezuela,VEN
8c32718f,-64.18035812699237,10.475505998334992,Cumana,Venezuela,VEN
8c327109,-64.19810589678593,10.456402087167035,Cumana,Venezuela,VEN
8c3271a7,-64.19218984397166,10.455891567079911,Cumana,Venezuela,VEN
8c32710d,-64.20402207891549,10.462071926834799,Cumana,Venezuela,VEN
8c32710b,-64.19810589678593,10.461561265745377,Cumana,Venezuela,VEN
8c327171,-64.20402207891549,10.472391736884182,Cumana,Venezuela,VEN
8c327173,-64.20402207891549,10.467231669934778,Cumana,Venezuela,VEN
8c327175,-64.19810589678593,10.466720768299192,Cumana,Venezuela,VEN
8c327177,-64.19810589678593,10.471880594703912,Cumana,Venezuela,VEN
8c327179,-64.19810589678593,10.477040744834943,Cumana,Venezuela,VEN
8c327183,-64.19218984397166,10.476529262371931,Cumana,Venezuela,VEN
8c327185,-64.18627392064853,10.476017680196303,Cumana,Venezuela,VEN
8c327191,-64.18035812699237,10.470346570124848,Cumana,Venezuela,VEN
8c327197,-64.18035812699237,10.465187465645476,Cumana,Venezuela,VEN
8c327199,-64.18627392064853,10.465698666127635,Cumana,Venezuela,VEN
8c32719b,-64.18627392064853,10.470858011297324,Cumana,Venezuela,VEN
8c32719d,-64.19218984397166,10.471369352832653,Cumana,Venezuela,VEN
8c32719f,-64.19218984397166,10.466209767021176,Cumana,Venezuela,VEN
8c3271a1,-64.19218984397166,10.46105050506208,Cumana,Venezuela,VEN
8c3271a3,-64.18627392064853,10.460539644811798,Cumana,Venezuela,VEN
8e372401,-77.09961297162626,3.885013552879046,Boaventura,Colombia,COL
8e37240b,-77.08234818850562,3.8847460726345173,Boaventura,Colombia,COL
8e37243f,-77.08234818850562,3.864853127410601,Boaventura,Colombia,COL
8e372421,-77.09961297162626,3.865119246288893,Boaventura,Colombia,COL
8e372403,-77.09961297162626,3.880039235586548,Boaventura,Colombia,COL
8e372405,-77.09385831975442,3.879950232274688,Boaventura,Colombia,COL
8e372407,-77.09385831975442,3.884924436162359,Boaventura,Colombia,COL
8e372409,-77.08810339199003,3.8848352760815414,Boaventura,Colombia,COL
8e37240d,-77.08234818850562,3.879772095722193,Boaventura,Colombia,COL
8e37240f,-77.08810339199003,3.8798611856539273,Boaventura,Colombia,COL
8e372411,-77.08810339199003,3.8748875889101906,Boaventura,Colombia,COL
8e372413,-77.08234818850562,3.874798612485166,Boaventura,Colombia,COL
8e372415,-77.08234818850562,3.869825623016846,Boaventura,Colombia,COL
8e372417,-77.08810339199003,3.8699144859437493,Boaventura,Colombia,COL
8e372419,-77.09385831975442,3.8700033056701337,Boaventura,Colombia,COL
8e37241b,-77.09385831975442,3.874976522079471,Boaventura,Colombia,COL
8e37241d,-77.09961297162626,3.8750654119950774,Boaventura,Colombia,COL
8e37241f,-77.09961297162626,3.870092082198064,Boaventura,Colombia,COL
8e372423,-77.09385831975442,3.8650305831400527,Boaventura,Colombia,COL
8e37243d,-77.08810339199003,3.864941876847976,Boaventura,Colombia,COL
8f7598a7,-85.69741240526493,10.947684440629295,Cuajiniquil,Puntarenas,CRI
8f75a209,-85.69741240526493,10.953321729989831,Cuajiniquil,Puntarenas,CRI
8f759883,-85.71794100703337,10.947971733858614,Cuajiniquil,Puntarenas,CRI
8f759885,-85.71794100703337,10.942334636383277,Cuajiniquil,Puntarenas,CRI
8f759899,-85.70767770012431,10.942191245418893,Cuajiniquil,Puntarenas,CRI
8f75989b,-85.71280960212452,10.942262987219602,Cuajiniquil,Puntarenas,CRI
8f75989d,-85.71280960212452,10.947900049597965,Cuajiniquil,Puntarenas,CRI
8f75989f,-85.70767770012431,10.947828272654869,Cuajiniquil,Puntarenas,CRI
8f7598a1,-85.70254530113651,10.947756403006311,Cuajiniquil,Puntarenas,CRI
8f7598a3,-85.70254530113651,10.942119410958151,Cuajiniquil,Puntarenas,CRI
8f75a20b,-85.70254530113651,10.95339372759939,Cuajiniquil,Puntarenas,CRI
8f75a20d,-85.70254530113651,10.959031384578006,Cuajiniquil,Puntarenas,CRI
8f75a271,-85.71280960212452,10.95917517182582,Cuajiniquil,Puntarenas,CRI
8f75a273,-85.70767770012431,10.959103324600067,Cuajiniquil,Puntarenas,CRI
8f75a275,-85.70767770012431,10.95346563243505,Cuajiniquil,Puntarenas,CRI
8f75a277,-85.71280960212452,10.953537444519833,Cuajiniquil,Puntarenas,CRI
8f75a279,-85.71794100703337,10.95360916387675,Cuajiniquil,Puntarenas,CRI
8f75a27b,-85.71794100703337,10.959246926278299,Cuajiniquil,Puntarenas,CRI
8f75a3f3,-85.70254530113651,11.032351099797232,Puerto Soley,,CRI
8f75a3f5,-85.70254530113651,11.037993393417214,Puerto Soley,,CRI
8f75a40b,-85.70254530113651,11.043636017027454,Puerto Soley,,CRI
8f75a419,-85.69227901261345,11.060420438760373,Puerto Soley,,CRI
8f75a411,-85.69741240526493,11.054849621907746,Puerto Soley,,CRI
8f75a3f1,-85.69741240526493,11.032278609008028,Puerto Soley,,CRI
8f75a3f7,-85.69741240526493,11.03792086740643,Puerto Soley,,CRI
8f75a3fb,-85.69227901261345,11.032206024785756,Puerto Soley,,CRI
8f75a409,-85.69741240526493,11.043563455795846,Puerto Soley,,CRI
8f75a40f,-85.69741240526493,11.049206374016292,Puerto Soley,,CRI
8f75a151,-85.67687585501898,11.031987711288952,Puerto Soley,,CRI
8f75a157,-85.6820107373865,11.032060575949373,Puerto Soley,,CRI
8f75a3fd,-85.68714512328599,11.032133347107257,Puerto Soley,,CRI
8f75a41b,-85.69227901261345,11.054776896621961,Puerto Soley,,CRI
8f75a3f9,-85.69227901261345,11.037848247917145,Puerto Soley,,CRI
8f75a405,-85.69227901261345,11.04913368399525,Puerto Soley,,CRI
8f75a407,-85.69227901261345,11.043490801040303,Puerto Soley,,CRI
8f75a3ff,-85.68714512328599,11.037775534926187,Puerto Soley,,CRI
8f75a14d,-85.67174047628754,11.037556834711625,Puerto Soley,,CRI
8f75a153,-85.67687585501898,11.037629828346587,Puerto Soley,,CRI
8f75a155,-85.6820107373865,11.03770272841039,Puerto Soley,,CRI
8f75a6b5,-85.66660460129626,11.043126123592335,Puerto Soley,,CRI
8f75a6b9,-85.66660460129626,11.054411865159054,Puerto Soley,,CRI
8f75a6b7,-85.66660460129626,11.048768829537904,Puerto Soley,,CRI
8f75a401,-85.68714512328599,11.043418052737644,Puerto Soley,,CRI
8f75a403,-85.68714512328599,11.049060900381647,Puerto Soley,,CRI
8f75a41d,-85.68714512328599,11.054704077698172,Puerto Soley,,CRI
8f75a41f,-85.68714512328599,11.060347584527168,Puerto Soley,,CRI
8f75a6a1,-85.6820107373865,11.060274636587305,Puerto Soley,,CRI
8f75a6a3,-85.67687585501898,11.06020159491758,Puerto Soley,,CRI
8f75a6a5,-85.67687585501898,11.054558158843793,Puerto Soley,,CRI
8f75a6a7,-85.6820107373865,11.054631165113184,Puerto Soley,,CRI
8f75a6a9,-85.6820107373865,11.048988023152292,Puerto Soley,,CRI
8f75a6ab,-85.6820107373865,11.043345210864688,Puerto Soley,,CRI
