s2id,longitude,latitude,label,sublabel,iso3,source
8e54a3c9,-79.07297931434694,9.132252802870752,Puerto Coquira,Panamá,PAN,buffer
8facaf49,-79.54067379603453,8.944425728972101,Chorrillo,Panamá,PAN,buffer
8fad95ff,-80.36864883328118,8.01801468589791,Boca Parita,Herrera,PAN,buffer
8fadbdfb,-80.35751283451334,8.028529374757913,Boca Parita,Herrera,PAN,buffer
8fa502e3,-82.86675443672135,8.27531616578817,Puerto Armuelles,Chiriquí,PAN,buffer
8faca8cb,-79.53505296247408,8.95515419944913,Puerto Panamá,Panamá,PAN,provided_points
8facbd2f,-79.70352645394627,8.861915047936266,Puerto Caimito,Panamá Oeste,PAN,buffer
8fadbe77,-80.36864883328118,8.050348167534665,Boca Parita,Herrera,PAN,buffer
8fa50319,-82.85598537490912,8.269687918522877,Puerto Armuelles,Chiriquí,PAN,provided_points
8fad9619,-80.34637535845074,8.012104869947661,Boca Parita,Herrera,PAN,buffer
8fadbddb,-80.35751283451334,8.050085974220323,Boca Parita,Herrera,PAN,buffer
8fadc9af,-80.49104697362388,8.24758472481618,Puerto Aguadulce,Coclé,PAN,buffer
8fa5036b,-82.83982853118104,8.269399354773041,Puerto Armuelles,Chiriquí,PAN,buffer
8faca8c3,-79.5294317822214,8.971328917991217,Puerto Panamá,Panamá,PAN,buffer
8fad815f,-80.16797581669991,7.755274366966587,Búcaro,Los Santos,PAN,provided_points
8fad961d,-80.35194428106844,8.017622808754723,Boca Parita,Herrera,PAN,buffer
8fadbe75,-80.36864883328118,8.044958236363957,Boca Parita,Herrera,PAN,buffer
8fadc8ff,-80.50216515092168,8.237036316259598,Puerto Aguadulce,Coclé,PAN,buffer
8facaf57,-79.55753421499304,8.944903385260577,La Boca,Panamá,PAN,buffer
8facbcb7,-79.6698569203932,8.860982496086992,Puerto Vacamonte,Panamá Oeste,PAN,provided_points
8fad815b,-80.17355647291416,7.750038894730844,Búcaro,Los Santos,PAN,buffer
8fad9601,-80.36308101863455,8.017884143671626,Boca Parita,Herrera,PAN,buffer
8fadbdd7,-80.36308101863455,8.055607365241936,Boca Parita,Herrera,PAN,provided_points
8faca5f7,-79.5631536602154,8.939618581838248,La Boca,Panamá,PAN,buffer
8faca8dd,-79.52381025543345,8.97116885079058,Puerto Panamá,Panamá,PAN,buffer
8facaa89,-79.42256369492686,9.022726327079727,Puerto Juan Díaz,Panamá,PAN,buffer
8fad8169,-80.16239479631659,7.74441626291784,Búcaro,Los Santos,PAN,buffer
8fadc907,-80.50216515092168,8.24784896148401,Puerto Aguadulce,Coclé,PAN,buffer
8fafbcc1,-81.80330573688792,8.206160038994144,Puerto Remedios,Chiriquí,PAN,buffer
8e4df3f9,-78.21058572338487,7.535062241055161,Puerto Piña,Darién,PAN,buffer
8fa57659,-82.44548568741834,8.370858273023249,Puerto Pedregal,Chiriquí,PAN,buffer
8fa577ad,-82.42923118720384,8.375986631222549,Puerto Pedregal,Chiriquí,PAN,buffer
8facaf4b,-79.54067379603453,8.949869570462923,Chorrillo,Panamá,PAN,buffer
8facaf4f,-79.54629428274575,8.94458504237958,Chorrillo,Panamá,PAN,provided_points
8fad961b,-80.35194428106844,8.012235577080268,Boca Parita,Herrera,PAN,buffer
8e4df3e3,-78.20488781719231,7.524272719393536,Puerto Piña,Darién,PAN,buffer
8faca2cd,-79.70913681393978,8.872951490366777,Puerto Caimito,Panamá Oeste,PAN,provided_points
